epoch,loss
0,0.002465579346608138
1,0.0010465350953745656
0,18572.7778809
1,1313.41224976
2,1036.8212677
3,979.85652771
4,928.504812622
5,857.621563721
6,792.524951172
7,737.305310059
8,670.091134644
9,624.797424316
10,4045.23739319
11,844.245150757
12,621.509088135
13,498.07983551
14,433.247335815
15,386.458436584
16,359.532655334
17,333.505976868
18,318.086169434
19,299.608311462
20,288.857319641
21,279.603538513
22,270.284359741
23,267.417243195
24,257.186603546
25,243.253850555
26,240.61254425
27,232.937910461
28,235.63102951
29,232.178259277
30,233.916174316
31,231.58084259
32,226.831455994
33,228.119052887
34,221.932687378
35,224.726078033
36,222.239859772
37,225.059741974
38,224.921694183
39,221.513195801
40,219.516970062
41,223.573967743
42,224.193322754
43,223.69128952
44,223.520542908
45,222.245124817
46,218.836432648
47,219.833753967
48,218.973512268
49,216.926738739
50,224.04200592
50,243.1355827331543
51,224.91566314697266
52,216.4975227355957
53,221.79031677246093
54,216.3856117248535
55,214.8828155517578
56,211.90845642089843
57,214.71916809082032
58,213.05716247558593
59,208.6505500793457
60,209.5204002380371
61,211.3618927001953
62,209.99393615722656
63,210.10832977294922
64,209.68760833740234
65,200.81800762176513
0,431.0054751281738
1,206.15273178100585
2,192.42590126037598
3,185.11929052734374
4,180.40202085876464
5,177.48942844390868
